איזור גידול,סוג חלקה,אורגני,מספר חלקה ,מספר חלקה מפורט,_id,שם חלקת אם,שם חלקה מפורט,שטח ברוטו (דונם),מגוף השקייה,מקור מים,דונם לגידול שלחין,type,דוררת,גרב אבקי,אבנים,רגישות לקרה,חיטוי אדיגן
בית קמה,פלחה,רגיל,129-9,129-9,129-9,ירדן פלחה,ירדן פלחה,80,,,80,plot,,,,,
בית קמה,שלחין,אורגני,127,127-1,127-1,מטע,מטע - 1,80,61,"שפד""ן בית קמה",80,plot,,,,,
בית קמה,שלחין,אורגני,127,127-2,127-2--1,מטע,מטע - 2,47,62,"שפד""ן בית קמה",47,plot,,,,,
בית קמה,שלחין,אורגני,127,127-2,127-2--2,מטע,מטע - 2,50,62,"שפד""ן בית קמה",50,plot,,,,,
בית קמה,פלחה,רגיל,103,103,103,מליחה,מליחה,63,,,63,plot,,,,,
בית קמה,שלחין,רגיל,128,128-1,128-1--1,מסילה,מסילה - 1,83,41,"שפד""ן בית קמה",83,plot,,,,,
בית קמה,שלחין,רגיל,128,128-2,128-2--1,מסילה,מסילה - 2,92,42,"שפד""ן בית קמה",92,plot,,,,,
בית קמה,שלחין,רגיל,128,128-1,128-1--2,מסילה,מסילה - 1,69,41,"שפד""ן בית קמה",69,plot,,,,,
בית קמה,שלחין,רגיל,128,128-2,128-2--2,מסילה,מסילה - 2,76,42,"שפד""ן בית קמה",76,plot,,,,,
בית קמה,שלחין,רגיל,128,128-3,128-3--1,מסילה,מסילה - 3,167,43,"שפד""ן בית קמה",116,plot,,,,,
בית קמה,שלחין,רגיל,128,128-3,128-3--2,מסילה,מסילה - 3,92,43,"שפד""ן בית קמה",92,plot,,,,,
בית קמה,שלחין,רגיל,128,128-4,128-4--1,מסילה,מסילה  - 4,129,44,"שפד""ן בית קמה",94,plot,,,,,
בית קמה,שלחין,רגיל,128,128-5,128-5--1,מסילה,מסילה - 5,89,45,"שפד""ן בית קמה",75,plot,,,,,
בית קמה,שלחין,רגיל,128,128-4,128-4--2,מסילה,מסילה  - 4,15,44,"שפד""ן בית קמה",15,plot,,,,,
בית קמה,שלחין,רגיל,128,128-5,128-5--2,מסילה,מסילה - 5,15,45,"שפד""ן בית קמה",15,plot,,,,,
בית קמה,שלחין,רגיל,128,128-4,128-4--3,מסילה,מסילה  - 4,102,44,"שפד""ן בית קמה",102,plot,,,,,
בית קמה,שלחין,רגיל,128,128-5,128-5--3,מסילה,מסילה - 5,45,45,"שפד""ן בית קמה",45,plot,,,,,
בית קמה,פלחה,רגיל,128-9,128-9,128-9,מסילה פלחה,מסילה פלחה,205,,,205,plot,,,,,
בית קמה,שלחין,אורגני,176,176,176,מצבה דרום,מצבה דרום,85,ביוב בית קמה,ביוב בית קמה,85,plot,,,,,
